1	104	534	981
2	609	84	806
3	586	901	972
4	936	621	250
5	342	721	558
6	729	580	545
7	75	708	217
8	388	42	416
9	902	193	431
10	750	62	378
11	196	29	128
12	814	3	793
13	320	871	85
14	753	767	245
15	467	401	774
16	123	957	16
17	496	7	310
18	646	636	942
19	204	779	6
20	531	792	584
21	992	254	852
22	613	192	497
23	427	101	960
24	79	658	229
25	512	834	671
26	794	930	799
27	12	693	700
28	44	350	143
29	666	978	766
30	691	690	679
31	437	563	429
32	580	631	344
33	369	689	1
34	246	969	953
35	114	953	399
36	714	56	254
37	86	227	228
38	903	152	54
39	64	467	468
40	643	578	279
41	727	877	210
42	603	904	485
43	124	282	183
44	920	28	269
45	929	524	809
46	624	961	12
47	580	529	329
48	792	289	451
49	484	40	120
50	209	290	137
51	32	869	557
52	922	323	638
53	201	628	595
54	625	439	207
55	80	183	369
56	590	251	63
57	449	761	86
58	29	419	978
59	661	210	111
60	804	972	711
61	87	172	215
62	9	258	384
63	577	723	140
64	513	944	905
65	709	798	794
66	309	224	135
67	819	339	123
68	157	510	819
69	338	150	800
70	288	761	520
71	289	140	935
72	330	383	340
73	622	683	214
74	693	166	159
75	790	718	613
76	866	384	991
77	160	368	978
78	351	384	868
79	975	764	431
80	810	63	947
81	738	494	150
82	132	126	622
83	982	645	516
84	981	520	643
85	234	121	933
