1	352	869	72
2	72	25	636
3	584	183	618
4	402	345	639
5	383	847	212
6	479	807	506
7	933	548	121
8	637	978	106
9	736	815	12
10	168	361	459
11	725	605	863
12	620	290	12
13	276	407	896
14	618	213	763
15	152	50	121
16	406	306	744
17	93	41	221
18	145	908	744
19	946	391	314
20	363	50	316
21	150	981	382
22	800	596	650
23	891	354	575
24	447	183	380
25	652	354	730
26	344	95	925
27	452	65	994
28	775	239	155
29	952	771	782
30	611	863	562
31	903	600	262
32	305	188	944
33	17	542	356
34	819	164	23
35	547	759	93
36	802	27	156
37	151	925	299
38	352	112	189
39	974	240	910
40	348	290	944
41	193	204	826
42	156	326	166
43	317	821	342
44	918	195	2
45	584	579	952
46	912	590	753
47	217	277	578
48	991	355	280
49	761	651	510
50	330	638	59
51	83	505	306
52	830	435	258
53	128	794	294
54	727	29	259
55	854	770	647
56	803	778	720
57	385	116	37
58	743	102	264
59	702	848	838
60	785	657	601
61	648	781	314
62	346	585	982
63	174	683	418
64	121	452	573
65	193	365	815
66	676	754	288
67	275	880	585
68	677	162	763
69	486	748	429
70	180	763	818
71	376	510	796
72	639	454	722
73	9	771	208
74	801	670	527
75	395	385	777
76	932	989	618
77	873	797	258
78	594	436	323
79	975	641	60
80	749	693	504
81	950	113	725
82	249	561	568
83	435	795	275
84	161	5	790
85	711	612	948
